year,countries,region,category,score
2020,Lesotho,Sub-Saharan Africa,hf_score,6.8
2020,Liberia,Sub-Saharan Africa,hf_score,6.62
2020,Libya,Middle East & North Africa,hf_score,4.95
2020,Lithuania,Eastern Europe,hf_score,8.34
2020,Luxembourg,Western Europe,hf_score,8.53
2020,Madagascar,Sub-Saharan Africa,hf_score,6.47
2020,Malawi,Sub-Saharan Africa,hf_score,6.89
2020,Malaysia,South Asia,hf_score,6.78
2020,Mali,Sub-Saharan Africa,hf_score,6.01
2020,Malta,Western Europe,hf_score,8.2
2020,Mauritania,Sub-Saharan Africa,hf_score,5.54
2020,Mauritius,Sub-Saharan Africa,hf_score,7.63
2020,Mexico,Latin America & the Caribbean,hf_score,6.6
2020,Moldova,Eastern Europe,hf_score,7.46
2020,Mongolia,East Asia,hf_score,7.62
2020,Montenegro,Eastern Europe,hf_score,7.45
2020,Morocco,Middle East & North Africa,hf_score,5.55
2020,Mozambique,Sub-Saharan Africa,hf_score,6.62
2020,Myanmar,South Asia,hf_score,5.56
2020,Namibia,Sub-Saharan Africa,hf_score,7.49
2020,Nepal,South Asia,hf_score,6.77
2020,Netherlands,Western Europe,hf_score,8.55
2020,New Zealand,Oceania,hf_score,8.75
2020,Nicaragua,Latin America & the Caribbean,hf_score,5.96
2020,Niger,Sub-Saharan Africa,hf_score,6.33
2020,Nigeria,Sub-Saharan Africa,hf_score,5.93
2020,North Macedonia,Eastern Europe,hf_score,7.67
2020,Norway,Western Europe,hf_score,8.51
2020,Oman,Middle East & North Africa,hf_score,5.57
2020,Pakistan,South Asia,hf_score,5.44
2020,Panama,Latin America & the Caribbean,hf_score,7.52
2020,Papua New Guinea,Oceania,hf_score,6.98
2020,Paraguay,Latin America & the Caribbean,hf_score,7.03
2020,Peru,Latin America & the Caribbean,hf_score,7.51
2020,Philippines,South Asia,hf_score,6.52
2020,Poland,Eastern Europe,hf_score,7.66
2020,Portugal,Western Europe,hf_score,8.2
2020,Qatar,Middle East & North Africa,hf_score,5.73
2020,Romania,Eastern Europe,hf_score,7.89
2020,Russia,Eastern Europe,hf_score,6.01
2020,Rwanda,Sub-Saharan Africa,hf_score,5.93
2020,Saudi Arabia,Middle East & North Africa,hf_score,4.56
2020,Senegal,Sub-Saharan Africa,hf_score,6.7
2020,Serbia,Eastern Europe,hf_score,7.16
2020,Seychelles,Sub-Saharan Africa,hf_score,7.7
2020,Sierra Leone,Sub-Saharan Africa,hf_score,6.53
2020,Singapore,South Asia,hf_score,7.7
2020,Slovak Republic,Eastern Europe,hf_score,7.94
2020,Slovenia,Eastern Europe,hf_score,7.88
2020,Somaliland,Sub-Saharan Africa,hf_score,4.67
2020,South Africa,Sub-Saharan Africa,hf_score,6.93
2020,Spain,Western Europe,hf_score,8.08
2020,Sri Lanka,South Asia,hf_score,6.33
2020,Sudan,Sub-Saharan Africa,hf_score,4.31
2020,Suriname,Latin America & the Caribbean,hf_score,7.2
2020,Sweden,Western Europe,hf_score,8.66
2020,Switzerland,Western Europe,hf_score,8.94
2020,Syria,Middle East & North Africa,hf_score,3.3
2020,Taiwan,East Asia,hf_score,8.44
2020,Tajikistan,Caucasus & Central Asia,hf_score,5.49
2020,Tanzania,Sub-Saharan Africa,hf_score,6.24
2020,Thailand,South Asia,hf_score,6.49
2020,Timor-Leste,South Asia,hf_score,7.27
2020,Togo,Sub-Saharan Africa,hf_score,6.25
2020,Trinidad and Tobago,Latin America & the Caribbean,hf_score,7.53
2020,Tunisia,Middle East & North Africa,hf_score,6.25
2020,Turkey,Middle East & North Africa,hf_score,5.71
2020,Uganda,Sub-Saharan Africa,hf_score,6.13
2020,Ukraine,Eastern Europe,hf_score,6.68
2020,United Arab Emirates,Middle East & North Africa,hf_score,5.76
2020,United Kingdom,Western Europe,hf_score,8.3
2020,United States of America,North America,hf_score,8.23
2020,Uruguay,Latin America & the Caribbean,hf_score,7.97
2020,Venezuela,Latin America & the Caribbean,hf_score,4.09
2020,Vietnam,South Asia,hf_score,5.64
2020,Yemen,Middle East & North Africa,hf_score,3.94
2020,Zambia,Sub-Saharan Africa,hf_score,6.38
2020,Zimbabwe,Sub-Saharan Africa,hf_score,5.25
2019,Albania,Eastern Europe,hf_score,8.07
2019,Algeria,Middle East & North Africa,hf_score,5.08
2019,Angola,Sub-Saharan Africa,hf_score,5.96
2019,Argentina,Latin America & the Caribbean,hf_score,7.33
2019,Armenia,Caucasus & Central Asia,hf_score,8.32
2019,Australia,Oceania,hf_score,8.83
2019,Austria,Western Europe,hf_score,8.68
2019,Azerbaijan,Caucasus & Central Asia,hf_score,6.02
2019,Bahamas,Latin America & the Caribbean,hf_score,8.15
2019,Bahrain,Middle East & North Africa,hf_score,5.43
2019,Bangladesh,South Asia,hf_score,5.56
2019,Barbados,Latin America & the Caribbean,hf_score,7.93
2019,Belarus,Eastern Europe,hf_score,6.27
2019,Belgium,Western Europe,hf_score,8.55
2019,Belize,Latin America & the Caribbean,hf_score,7.48
2019,Benin,Sub-Saharan Africa,hf_score,7.25
2019,Bhutan,South Asia,hf_score,6.68
2019,Bolivia,Latin America & the Caribbean,hf_score,6.88
2019,Bosnia and Herz.,Eastern Europe,hf_score,7.43
2019,Botswana,Sub-Saharan Africa,hf_score,7.76
2019,Brazil,Latin America & the Caribbean,hf_score,7.25
2019,Brunei Darussalam,South Asia,hf_score,5.96
2019,Bulgaria,Eastern Europe,hf_score,7.97
2019,Burkina Faso,Sub-Saharan Africa,hf_score,6.83
2019,Burundi,Sub-Saharan Africa,hf_score,4.91
2019,Cabo Verde,Sub-Saharan Africa,hf_score,8.44
2019,Cambodia,South Asia,hf_score,6.43
2019,Cameroon,Sub-Saharan Africa,hf_score,5.34
2019,Canada,North America,hf_score,8.85
2019,Central African Rep.,Sub-Saharan Africa,hf_score,5.68
2019,Chad,Sub-Saharan Africa,hf_score,5.41
2019,Chile,Latin America & the Caribbean,hf_score,8.5
2019,China,East Asia,hf_score,5.27
2019,Colombia,Latin America & the Caribbean,hf_score,6.95
2019,Comoros,Sub-Saharan Africa,hf_score,5.91
2019,Dem. Rep. Congo,Sub-Saharan Africa,hf_score,5.49
2019,Congo,Sub-Saharan Africa,hf_score,5.33
2019,Costa Rica,Latin America & the Caribbean,hf_score,8.28
2019,Côte d'Ivoire,Sub-Saharan Africa,hf_score,6.78
2019,Croatia,Eastern Europe,hf_score,8.15
2019,Cyprus,Eastern Europe,hf_score,8.49
2019,Czechia,Eastern Europe,hf_score,8.61
2019,Denmark,Western Europe,hf_score,9.01
2019,Djibouti,Sub-Saharan Africa,hf_score,5.63
2019,Dominican Republic,Latin America & the Caribbean,hf_score,7.87
2019,Ecuador,Latin America & the Caribbean,hf_score,7.37
2019,Egypt,Middle East & North Africa,hf_score,4.35
2019,El Salvador,Latin America & the Caribbean,hf_score,7.34
2019,Estonia,Eastern Europe,hf_score,8.94
2019,Eswatini,Sub-Saharan Africa,hf_score,5.73
2019,Ethiopia,Sub-Saharan Africa,hf_score,5.73
2019,Fiji,Oceania,hf_score,7.35
2019,Finland,Western Europe,hf_score,8.87
2019,France,Western Europe,hf_score,8.26
2019,Gabon,Sub-Saharan Africa,hf_score,6.66
2019,"Gambia, The",Sub-Saharan Africa,hf_score,6.82
2019,Georgia,Caucasus & Central Asia,hf_score,7.85
2019,Germany,Western Europe,hf_score,8.73
2019,Ghana,Sub-Saharan Africa,hf_score,7.46
2019,Greece,Eastern Europe,hf_score,7.83
2019,Guatemala,Latin America & the Caribbean,hf_score,7.47
2019,Guinea,Sub-Saharan Africa,hf_score,5.82
2019,Guinea-Bissau,Sub-Saharan Africa,hf_score,6.78
2019,Guyana,Latin America & the Caribbean,hf_score,7.04
2019,Haiti,Latin America & the Caribbean,hf_score,7.2
2019,Honduras,Latin America & the Caribbean,hf_score,6.98
2019,"Hong Kong SAR, China",East Asia,hf_score,8.38
2019,Hungary,Eastern Europe,hf_score,7.63
2019,Iceland,Western Europe,hf_score,8.84
2019,India,South Asia,hf_score,6.42
2019,Indonesia,South Asia,hf_score,6.98
2019,Iran,Middle East & North Africa,hf_score,4.27
2019,Iraq,Middle East & North Africa,hf_score,5.12
2019,Ireland,Western Europe,hf_score,8.95
2019,Israel,Middle East & North Africa,hf_score,7.61
2019,Italy,Western Europe,hf_score,8.43
2019,Jamaica,Latin America & the Caribbean,hf_score,7.9
2019,Japan,East Asia,hf_score,8.75
2019,Jordan,Middle East & North Africa,hf_score,6.71
2019,Kazakhstan,Caucasus & Central Asia,hf_score,6.63
2019,Kenya,Sub-Saharan Africa,hf_score,6.57
2019,South Korea,East Asia,hf_score,8.31
2019,Kuwait,Middle East & North Africa,hf_score,6.2
2019,Kyrgyzstan,Caucasus & Central Asia,hf_score,7.02
2019,Lao PDR,South Asia,hf_score,5.68
2019,Latvia,Eastern Europe,hf_score,8.62
2019,Lebanon,Middle East & North Africa,hf_score,6.67
2019,Lesotho,Sub-Saharan Africa,hf_score,7
2019,Liberia,Sub-Saharan Africa,hf_score,6.6
2019,Libya,Middle East & North Africa,hf_score,4.72
2019,Lithuania,Eastern Europe,hf_score,8.72
2019,Luxembourg,Western Europe,hf_score,8.85
2019,Madagascar,Sub-Saharan Africa,hf_score,6.86
2019,Malawi,Sub-Saharan Africa,hf_score,6.92
2019,Malaysia,South Asia,hf_score,7.08
2019,Mali,Sub-Saharan Africa,hf_score,6.19
2019,Malta,Western Europe,hf_score,8.43
2019,Mauritania,Sub-Saharan Africa,hf_score,5.56
2019,Mauritius,Sub-Saharan Africa,hf_score,8.02
2019,Mexico,Latin America & the Caribbean,hf_score,6.8
2019,Moldova,Eastern Europe,hf_score,7.6
2019,Mongolia,East Asia,hf_score,7.97
2019,Montenegro,Eastern Europe,hf_score,7.91
2019,Morocco,Middle East & North Africa,hf_score,5.68
2019,Mozambique,Sub-Saharan Africa,hf_score,6.77
2019,Myanmar,South Asia,hf_score,5.4
2019,Namibia,Sub-Saharan Africa,hf_score,7.57
2019,Nepal,South Asia,hf_score,7.01
2019,Netherlands,Western Europe,hf_score,8.8
2019,New Zealand,Oceania,hf_score,9.04
2019,Nicaragua,Latin America & the Caribbean,hf_score,6.13
2019,Niger,Sub-Saharan Africa,hf_score,6.14
2019,Nigeria,Sub-Saharan Africa,hf_score,6.1
2019,North Macedonia,Eastern Europe,hf_score,7.68
2019,Norway,Western Europe,hf_score,8.81
2019,Oman,Middle East & North Africa,hf_score,5.77
2019,Pakistan,South Asia,hf_score,5.48
2019,Panama,Latin America & the Caribbean,hf_score,7.94
2019,Papua New Guinea,Oceania,hf_score,7.17
2019,Paraguay,Latin America & the Caribbean,hf_score,7.46
2019,Peru,Latin America & the Caribbean,hf_score,7.83
2019,Philippines,South Asia,hf_score,6.69
2019,Poland,Eastern Europe,hf_score,7.92
2019,Portugal,Western Europe,hf_score,8.69
2019,Qatar,Middle East & North Africa,hf_score,5.96
2019,Romania,Eastern Europe,hf_score,8.25
2019,Russia,Eastern Europe,hf_score,6.11
2019,Rwanda,Sub-Saharan Africa,hf_score,6.19
2019,Saudi Arabia,Middle East & North Africa,hf_score,4.77
2019,Senegal,Sub-Saharan Africa,hf_score,6.9
2019,Serbia,Eastern Europe,hf_score,7.5
2019,Seychelles,Sub-Saharan Africa,hf_score,7.91
2019,Sierra Leone,Sub-Saharan Africa,hf_score,6.47
2019,Singapore,South Asia,hf_score,7.86
2019,Slovak Republic,Eastern Europe,hf_score,8.15
2019,Slovenia,Eastern Europe,hf_score,8.33
2019,Somaliland,Sub-Saharan Africa,hf_score,4.71
2019,South Africa,Sub-Saharan Africa,hf_score,7.15
2019,Spain,Western Europe,hf_score,8.49
2019,Sri Lanka,South Asia,hf_score,6.47
2019,Sudan,Sub-Saharan Africa,hf_score,4.04
2019,Suriname,Latin America & the Caribbean,hf_score,7.51
2019,Sweden,Western Europe,hf_score,8.85
2019,Switzerland,Western Europe,hf_score,9.17
2019,Syria,Middle East & North Africa,hf_score,3.36
2019,Taiwan,East Asia,hf_score,8.8
2019,Tajikistan,Caucasus & Central Asia,hf_score,5.44
2019,Tanzania,Sub-Saharan Africa,hf_score,6.29
2019,Thailand,South Asia,hf_score,6.75
2019,Timor-Leste,South Asia,hf_score,7.36
2019,Togo,Sub-Saharan Africa,hf_score,6.28
2019,Trinidad and Tobago,Latin America & the Caribbean,hf_score,7.78
2019,Tunisia,Middle East & North Africa,hf_score,6.3
2019,Turkey,Middle East & North Africa,hf_score,5.63
2019,Uganda,Sub-Saharan Africa,hf_score,6.17
2019,Ukraine,Eastern Europe,hf_score,6.77
2019,United Arab Emirates,Middle East & North Africa,hf_score,5.89
2019,United Kingdom,Western Europe,hf_score,8.79
2019,United States of America,North America,hf_score,8.75
2019,Uruguay,Latin America & the Caribbean,hf_score,8.4
2019,Venezuela,Latin America & the Caribbean,hf_score,3.9
2019,Vietnam,South Asia,hf_score,5.74
2019,Yemen,Middle East & North Africa,hf_score,3.99
2019,Zambia,Sub-Saharan Africa,hf_score,6.6
2019,Zimbabwe,Sub-Saharan Africa,hf_score,5.3
2018,Albania,Eastern Europe,hf_score,8.08
2018,Algeria,Middle East & North Africa,hf_score,5.08
2018,Angola,Sub-Saharan Africa,hf_score,5.62
2018,Argentina,Latin America & the Caribbean,hf_score,7.54
2018,Armenia,Caucasus & Central Asia,hf_score,8.04
2018,Australia,Oceania,hf_score,8.98
2018,Austria,Western Europe,hf_score,8.69
2018,Azerbaijan,Caucasus & Central Asia,hf_score,5.98
2018,Bahamas,Latin America & the Caribbean,hf_score,8.05
2018,Bahrain,Middle East & North Africa,hf_score,5.28
2018,Bangladesh,South Asia,hf_score,5.64
2018,Barbados,Latin America & the Caribbean,hf_score,7.8
2018,Belarus,Eastern Europe,hf_score,6.23
2018,Belgium,Western Europe,hf_score,8.55
2018,Belize,Latin America & the Caribbean,hf_score,7.38
2018,Benin,Sub-Saharan Africa,hf_score,7.35
2018,Bhutan,South Asia,hf_score,6.64
2018,Bolivia,Latin America & the Caribbean,hf_score,7.02
2018,Bosnia and Herz.,Eastern Europe,hf_score,7.46
2018,Botswana,Sub-Saharan Africa,hf_score,7.55
2018,Brazil,Latin America & the Caribbean,hf_score,7.35
2018,Brunei Darussalam,South Asia,hf_score,5.94
2018,Bulgaria,Eastern Europe,hf_score,8.07
2018,Burkina Faso,Sub-Saharan Africa,hf_score,6.85
2018,Burundi,Sub-Saharan Africa,hf_score,4.8
2018,Cabo Verde,Sub-Saharan Africa,hf_score,8.41
2018,Cambodia,South Asia,hf_score,6.42
2018,Cameroon,Sub-Saharan Africa,hf_score,5.35
2018,Canada,North America,hf_score,8.85
2018,Central African Rep.,Sub-Saharan Africa,hf_score,5.73
2018,Chad,Sub-Saharan Africa,hf_score,5.4
2018,Chile,Latin America & the Caribbean,hf_score,8.65
2018,China,East Asia,hf_score,5.31
2018,Colombia,Latin America & the Caribbean,hf_score,6.99
2018,Dem. Rep. Congo,Sub-Saharan Africa,hf_score,5.16
2018,Congo,Sub-Saharan Africa,hf_score,5.26
2018,Costa Rica,Latin America & the Caribbean,hf_score,8.28
2018,Côte d'Ivoire,Sub-Saharan Africa,hf_score,6.77
2018,Croatia,Eastern Europe,hf_score,8.2
2018,Cyprus,Eastern Europe,hf_score,8.51
2018,Czechia,Eastern Europe,hf_score,8.66
2018,Denmark,Western Europe,hf_score,9
2018,Dominican Republic,Latin America & the Caribbean,hf_score,7.89
2018,Ecuador,Latin America & the Caribbean,hf_score,7.38
2018,Egypt,Middle East & North Africa,hf_score,4.3
2018,El Salvador,Latin America & the Caribbean,hf_score,7.42
2018,Estonia,Eastern Europe,hf_score,8.94
2018,Eswatini,Sub-Saharan Africa,hf_score,5.64
2018,Ethiopia,Sub-Saharan Africa,hf_score,5.34
2018,Fiji,Oceania,hf_score,7.32
2018,Finland,Western Europe,hf_score,8.9
2018,France,Western Europe,hf_score,8.27
2018,Gabon,Sub-Saharan Africa,hf_score,6.74
2018,"Gambia, The",Sub-Saharan Africa,hf_score,6.9
2018,Georgia,Caucasus & Central Asia,hf_score,8.08
2018,Germany,Western Europe,hf_score,8.73
2018,Ghana,Sub-Saharan Africa,hf_score,7.48
2018,Greece,Eastern Europe,hf_score,7.78
2018,Guatemala,Latin America & the Caribbean,hf_score,7.39
2018,Guinea,Sub-Saharan Africa,hf_score,5.84
2018,Guinea-Bissau,Sub-Saharan Africa,hf_score,6.53
2018,Guyana,Latin America & the Caribbean,hf_score,7.13
2018,Haiti,Latin America & the Caribbean,hf_score,7.13
2018,Honduras,Latin America & the Caribbean,hf_score,7.02
2018,"Hong Kong SAR, China",East Asia,hf_score,8.63
2018,Hungary,Eastern Europe,hf_score,7.65
2018,Iceland,Western Europe,hf_score,8.84
2018,India,South Asia,hf_score,6.57
2018,Indonesia,South Asia,hf_score,7.12
2018,Iran,Middle East & North Africa,hf_score,4.4
2018,Iraq,Middle East & North Africa,hf_score,5.12
2018,Ireland,Western Europe,hf_score,8.91
2018,Israel,Middle East & North Africa,hf_score,7.56
2018,Italy,Western Europe,hf_score,8.43
2018,Jamaica,Latin America & the Caribbean,hf_score,7.94
2018,Japan,East Asia,hf_score,8.75
2018,Jordan,Middle East & North Africa,hf_score,6.7
2018,Kazakhstan,Caucasus & Central Asia,hf_score,6.56
2018,Kenya,Sub-Saharan Africa,hf_score,6.62
2018,South Korea,East Asia,hf_score,8.36
2018,Kuwait,Middle East & North Africa,hf_score,6.14
2018,Kyrgyzstan,Caucasus & Central Asia,hf_score,7.14
2018,Lao PDR,South Asia,hf_score,5.61
2018,Latvia,Eastern Europe,hf_score,8.6
2018,Lebanon,Middle East & North Africa,hf_score,6.77
2018,Lesotho,Sub-Saharan Africa,hf_score,6.98
2018,Liberia,Sub-Saharan Africa,hf_score,6.63
2018,Libya,Middle East & North Africa,hf_score,4.82
2018,Lithuania,Eastern Europe,hf_score,8.68
2018,Luxembourg,Western Europe,hf_score,8.86
2018,Madagascar,Sub-Saharan Africa,hf_score,6.87
2018,Malawi,Sub-Saharan Africa,hf_score,7.05
2018,Malaysia,South Asia,hf_score,7.01
2018,Mali,Sub-Saharan Africa,hf_score,6.18
2018,Malta,Western Europe,hf_score,8.43
2018,Mauritania,Sub-Saharan Africa,hf_score,5.3
2018,Mauritius,Sub-Saharan Africa,hf_score,8.05
2018,Mexico,Latin America & the Caribbean,hf_score,6.81
2018,Moldova,Eastern Europe,hf_score,7.47
2018,Mongolia,East Asia,hf_score,8.03
2018,Montenegro,Eastern Europe,hf_score,7.82
2018,Morocco,Middle East & North Africa,hf_score,5.77
2018,Mozambique,Sub-Saharan Africa,hf_score,6.82
2018,Myanmar,South Asia,hf_score,5.43
2018,Namibia,Sub-Saharan Africa,hf_score,7.66
2018,Nepal,South Asia,hf_score,6.98
2018,Netherlands,Western Europe,hf_score,8.79
2018,New Zealand,Oceania,hf_score,9.14
2018,Nicaragua,Latin America & the Caribbean,hf_score,6.21
2018,Niger,Sub-Saharan Africa,hf_score,6.2
2018,Nigeria,Sub-Saharan Africa,hf_score,6.12
2018,North Macedonia,Eastern Europe,hf_score,7.48
2018,Norway,Western Europe,hf_score,8.85
2018,Oman,Middle East & North Africa,hf_score,5.72
2018,Pakistan,South Asia,hf_score,5.47
2018,Panama,Latin America & the Caribbean,hf_score,8.07
2018,Papua New Guinea,Oceania,hf_score,7.12
2018,Paraguay,Latin America & the Caribbean,hf_score,7.46
2018,Peru,Latin America & the Caribbean,hf_score,7.82
2018,Philippines,South Asia,hf_score,6.71
2018,Poland,Eastern Europe,hf_score,7.92
2018,Portugal,Western Europe,hf_score,8.68
2018,Qatar,Middle East & North Africa,hf_score,5.91
2018,Romania,Eastern Europe,hf_score,8.2
2018,Russia,Eastern Europe,hf_score,6.16
2018,Rwanda,Sub-Saharan Africa,hf_score,6.31
2018,Saudi Arabia,Middle East & North Africa,hf_score,4.55
2018,Senegal,Sub-Saharan Africa,hf_score,6.91
2018,Serbia,Eastern Europe,hf_score,7.49
2018,Seychelles,Sub-Saharan Africa,hf_score,7.91
2018,Sierra Leone,Sub-Saharan Africa,hf_score,6.39
2018,Singapore,South Asia,hf_score,7.84
2018,Slovak Republic,Eastern Europe,hf_score,8.16
2018,Slovenia,Eastern Europe,hf_score,8.35
2018,South Africa,Sub-Saharan Africa,hf_score,7.28
2018,Spain,Western Europe,hf_score,8.46
2018,Sri Lanka,South Asia,hf_score,6.86
2018,Sudan,Sub-Saharan Africa,hf_score,3.46
2018,Suriname,Latin America & the Caribbean,hf_score,7.53
2018,Sweden,Western Europe,hf_score,8.86
2018,Switzerland,Western Europe,hf_score,9.19
2018,Syria,Middle East & North Africa,hf_score,3.45
2018,Taiwan,East Asia,hf_score,8.78
2018,Tajikistan,Caucasus & Central Asia,hf_score,5.38
2018,Tanzania,Sub-Saharan Africa,hf_score,6.39
2018,Thailand,South Asia,hf_score,6.39
2018,Timor-Leste,South Asia,hf_score,7.38
2018,Togo,Sub-Saharan Africa,hf_score,6.31
2018,Trinidad and Tobago,Latin America & the Caribbean,hf_score,7.82
2018,Tunisia,Middle East & North Africa,hf_score,6.37
2018,Turkey,Middle East & North Africa,hf_score,5.72
2018,Uganda,Sub-Saharan Africa,hf_score,6.26
2018,Ukraine,Eastern Europe,hf_score,6.69
2018,United Arab Emirates,Middle East & North Africa,hf_score,5.85
2018,United Kingdom,Western Europe,hf_score,8.83
2018,United States of America,North America,hf_score,8.8
2018,Uruguay,Latin America & the Caribbean,hf_score,8.38
2018,Venezuela,Latin America & the Caribbean,hf_score,4.15
2018,Vietnam,South Asia,hf_score,5.73
2018,Yemen,Middle East & North Africa,hf_score,3.94
2018,Zambia,Sub-Saharan Africa,hf_score,6.8
2018,Zimbabwe,Sub-Saharan Africa,hf_score,5.82
2017,Albania,Eastern Europe,hf_score,8.09
2017,Algeria,Middle East & North Africa,hf_score,5.01
2017,Angola,Sub-Saharan Africa,hf_score,5.37
2017,Argentina,Latin America & the Caribbean,hf_score,7.56
2017,Armenia,Caucasus & Central Asia,hf_score,7.77
2017,Australia,Oceania,hf_score,8.96
2017,Austria,Western Europe,hf_score,8.76
2017,Azerbaijan,Caucasus & Central Asia,hf_score,5.99
2017,Bahamas,Latin America & the Caribbean,hf_score,8.09
2017,Bahrain,Middle East & North Africa,hf_score,5.13
2017,Bangladesh,South Asia,hf_score,5.65
2017,Barbados,Latin America & the Caribbean,hf_score,7.73
2017,Belarus,Eastern Europe,hf_score,6.32
2017,Belgium,Western Europe,hf_score,8.55
2017,Belize,Latin America & the Caribbean,hf_score,7.31
2017,Benin,Sub-Saharan Africa,hf_score,7.37
2017,Bhutan,South Asia,hf_score,6.53
2017,Bolivia,Latin America & the Caribbean,hf_score,7.06
2017,Bosnia and Herz.,Eastern Europe,hf_score,7.49
2017,Botswana,Sub-Saharan Africa,hf_score,7.51
2017,Brazil,Latin America & the Caribbean,hf_score,7.41
2017,Brunei Darussalam,South Asia,hf_score,5.95
2017,Bulgaria,Eastern Europe,hf_score,8.15
2017,Burkina Faso,Sub-Saharan Africa,hf_score,7.13
